e1,ev,p,q,e,u,tid
1.439808206,0.139153067,240.5020397,380.2786314,0.73558152,0,CID-D113
1.527348664,0.108231992,245.7113766,393.3318556,0.736118928,0,CID-D113
1.618268075,0.071958581,250.7142766,407.5953066,0.73674936,0,CID-D113
1.714452655,0.031455839,253.7837468,419.484979,0.737453298,0,CID-D113
1.81990593,-0.014105412,256.8734548,428.8558497,0.738245152,0,CID-D113
1.919332055,-0.063856035,260.804043,438.2762526,0.739109818,0,CID-D113
2.014873322,-0.116785855,261.9236265,444.8565303,0.740029738,0,CID-D113
2.119658301,-0.171524468,264.7531122,453.38628,0.740981095,0,CID-D113
2.212207853,-0.229408195,267.5024366,458.0867492,0.741987114,0,CID-D113
2.308167586,-0.29052107,268.9155227,465.288513,0.743049256,0,CID-D113
2.404851825,-0.355121072,269.9263276,469.881881,0.744172004,0,CID-D113
2.521997148,-0.419037635,272.2974493,473.596137,0.745282874,0,CID-D113
2.624477446,-0.490224042,272.6308379,476.0073976,0.746520094,0,CID-D113
2.710250357,-0.558094327,274.6267781,480.0076946,0.747699679,0,CID-D113
2.810026244,-0.629900119,275.2831983,483.4230545,0.748947664,0,CID-D113
2.908765336,-0.703078078,275.8416843,487.2156093,0.750219497,0,CID-D113
3.019533746,-0.77449602,276.7259329,489.1785294,0.751460741,0,CID-D113
3.109472573,-0.849984039,277.5321585,491.479246,0.752772723,0,CID-D113
3.215450492,-0.924653459,278.6628875,492.2896853,0.754070477,0,CID-D113
3.315857199,-1.001347928,278.2587058,492.3626151,0.755403427,0,CID-D113
3.409843274,-1.078027706,278.5933885,495.1479271,0.756736122,0,CID-D113
3.503610748,-1.153692609,279.6164268,496.1984116,0.758051178,0,CID-D113
3.602237416,-1.232222315,279.9269925,497.4153528,0.759416024,0,CID-D113
3.714417366,-1.308202787,279.7859426,499.0701243,0.760736564,0,CID-D113
3.80395022,-1.3869511,280.6547023,498.8716889,0.76210521,0,CID-D113
3.909053733,-1.46433606,280.657272,499.0531469,0.763450161,0,CID-D113
4.003071037,-1.543552732,281.247855,500.8983523,0.764826946,0,CID-D113
4.107568712,-1.627525272,280.5570031,499.4511303,0.766286389,0,CID-D113
4.200611678,-1.706707272,280.308294,499.3804186,0.767662572,0,CID-D113
4.290650438,-1.785249907,280.7072135,499.3347714,0.769027643,0,CID-D113
4.403098955,-1.866146675,280.7080962,498.8405263,0.770433629,0,CID-D113
4.491832353,-1.947659304,280.2826864,497.9634973,0.771850319,0,CID-D113
4.597516721,-2.02813884,279.430159,495.9280985,0.773249053,0,CID-D113
4.696393219,-2.109368219,280.1626897,497.68953,0.77466082,0,CID-D113
4.795257227,-2.189870674,279.6729455,497.1092586,0.776059952,0,CID-D113
5.048160213,-2.393015523,279.5648549,496.5053231,0.77959061,0,CID-D113
5.298596128,-2.595642064,278.1584155,492.5910006,0.783112259,0,CID-D113
5.458506114,-2.724943145,278.3978238,492.7065952,0.785359512,0,CID-D113
5.70430768,-3.046457754,278.0625852,491.9348109,0.790947436,0,CID-D113
5.963731232,-3.242393288,276.5770436,486.781063,0.794352795,0,CID-D113
6.210719491,-3.434720639,274.9769728,483.4858659,0.797695445,0,CID-D113
6.459700146,-3.619067087,274.6918292,481.4334441,0.800899386,0,CID-D113
6.703353173,-3.804232722,271.9956798,474.0192061,0.804117565,0,CID-D113
6.949785561,-3.979554597,270.256674,468.703482,0.807164659,0,CID-D113
7.206186169,-4.144890502,268.5316576,463.4845989,0.810038197,0,CID-D113
7.457771301,-4.297047134,265.5304979,454.8641106,0.812682679,0,CID-D113
7.704428536,-4.438296356,262.7014084,446.9219802,0.815137591,0,CID-D113
7.955838788,-4.565695794,260.0958518,439.2184874,0.817351793,0,CID-D113
8.203539063,-4.68007874,257.2667145,430.6229121,0.819339768,0,CID-D113
8.458059699,-4.772061565,255.5646354,424.2310862,0.82093843,0,CID-D113
8.704492087,-4.852766759,252.6781888,415.920398,0.822341086,0,CID-D113
8.950949457,-4.923250334,249.6888729,407.7823751,0.823566091,0,CID-D113
9.203127936,-4.987090502,249.0992284,405.382525,0.824675633,0,CID-D113
9.448941994,-5.042245173,247.4826373,400.9244093,0.825634221,0,CID-D113
9.703462631,-5.090625978,246.6578716,399.1882209,0.82647508,0,CID-D113
9.956003364,-5.137156855,246.3005327,397.23908,0.827283786,0,CID-D113
10.20011233,-5.185378407,245.3625236,395.4074823,0.828121877,0,CID-D113
10.45005483,-5.231516732,244.6895413,391.6411296,0.828923761,0,CID-D113
10.69421377,-5.277321272,244.840795,391.5970651,0.829719844,0,CID-D113
10.94756645,-5.322273715,244.8384689,391.3328741,0.830501117,0,CID-D113
11.19499815,-5.368157587,243.9801829,389.5264708,0.831298579,0,CID-D113
11.4467769,-5.418027503,243.3609123,388.2640217,0.832165318,0,CID-D113
11.69758132,-5.467858046,244.1213522,390.6142718,0.833031373,0,CID-D113
11.94698668,-5.51914773,243.1321061,389.5774926,0.833922788,0,CID-D113
12.1936002,-5.573041299,243.7735734,390.4367873,0.834859458,0,CID-D113
12.45105634,-5.631827072,243.8709347,390.9416257,0.835881155,0,CID-D113
12.70424663,-5.692662575,244.2597071,389.6751118,0.836938476,0,CID-D113
